image_id,coarse_label, fine_label, coarse_label2
69024,100,Mango,EC
69027,100,Mango,EC
69031,100,Mango,EC
69038,100,Mango,EC
69041,100,Mango,EC
69043,100,Mango,EC
69045,100,Mango,EC
69046,100,Mango,EC
69047,100,Mango,EC
69055,100,Mango,EC
69058,100,Mango,EC
69066,100,Mango,EC
69068,100,Mango,EC
69073,100,Mango,EC
69074,100,Mango,EC
69078,100,Mango,EC
69082,100,Mango,EC
69086,100,Mango,EC
69088,100,Mango,EC
69090,100,Mango,EC
69091,100,Mango,EC
69092,100,Mango,EC
69093,100,Mango,EC
69095,100,Mango,EC
69098,100,Mango,EC
69101,100,Mango,EC
69106,100,Mango,EC
69107,100,Mango,EC
69111,100,Mango,EC
69121,100,Mango,EC
69125,100,Mango,EC
69128,100,Mango,EC
69131,100,Mango,EC
69133,100,Mango,EC
69134,100,Mango,EC
69135,100,Mango,EC
69138,100,Mango,EC
69140,100,Mango,EC
69141,100,Mango,EC
69142,100,Mango,EC
69160,100,Mango,EC
69163,100,Mango,EC
69164,100,Mango,EC
69167,100,Mango,EC
69171,100,Mango,EC
69175,100,Mango,EC
69177,100,Mango,EC
69191,100,Mango,EC
69192,100,Mango,EC
69194,100,Mango,EC
69196,100,Mango,EC
69197,100,Mango,EC
69200,100,Mango,EC
69205,100,Mango,EC
69210,100,Mango,EC
69213,100,Mango,EC
69216,100,Mango,EC
69217,100,Mango,EC
69225,100,Mango,EC
69226,100,Mango,EC
69230,100,Mango,EC
69235,100,Mango,EC
69236,100,Mango,EC
69244,100,Mango,EC
69245,100,Mango,EC
69246,100,Mango,EC
69247,100,Mango,EC
69253,100,Mango,EC
69256,100,Mango,EC
69261,100,Mango,EC
69266,100,Mango,EC
69267,100,Mango,EC
69274,100,Mango,EC
69275,100,Mango,EC
69280,100,Mango,EC
69281,100,Mango,EC
69282,100,Mango,EC
69285,100,Mango,EC
69289,100,Mango,EC
69291,100,Mango,EC
69292,100,Mango,EC
69293,100,Mango,EC
69295,100,Mango,EC
69296,100,Mango,EC
69297,100,Mango,EC
69311,100,Mango,EC
69313,100,Mango,EC
69315,100,Mango,EC
69317,100,Mango,EC
69320,100,Mango,EC
69326,100,Mango,EC
69334,100,Mango,EC
69338,100,Mango,EC
69339,100,Mango,EC
69340,100,Mango,EC
69342,100,Mango,EC
69345,100,Mango,EC
69346,100,Mango,EC
69347,100,Mango,EC
69353,100,Mango,EC
69355,100,Mango,EC
69357,100,Mango,EC
69362,100,Mango,EC
69363,100,Mango,EC
69368,100,Mango,EC
69372,100,Mango,EC
69378,100,Mango,EC
69379,100,Mango,EC
69380,100,Mango,EC
69382,100,Mango,EC
69385,100,Mango,EC
69387,100,Mango,EC
69388,100,Mango,EC
69391,100,Mango,EC
69392,100,Mango,EC
69393,100,Mango,EC
69394,100,Mango,EC
69398,100,Mango,EC
69401,100,Mango,EC
69402,100,Mango,EC
69410,100,Mango,EC
69411,100,Mango,EC
69419,100,Mango,EC
69422,100,Mango,EC
69430,100,Mango,EC
69431,100,Mango,EC
69438,100,Mango,EC
69441,100,Mango,EC
69449,100,Mango,EC
69452,100,Mango,EC
69456,100,Mango,EC
69458,100,Mango,EC
69460,100,Mango,EC
69469,100,Mango,EC
69472,100,Mango,EC
69473,100,Mango,EC
69474,100,Mango,EC
69475,100,Mango,EC
69498,101,Mango,EC
69499,101,Mango,EC
69501,101,Mango,EC
69504,101,Mango,EC
69507,101,Mango,EC
69509,101,Mango,EC
69510,101,Mango,EC
69512,101,Mango,EC
69513,101,Mango,EC
69519,101,Mango,EC
69525,101,Mango,EC
69526,101,Mango,EC
69532,101,Mango,EC
69540,101,Mango,EC
69541,101,Mango,EC
69554,101,Mango,EC
69555,101,Mango,EC
69560,101,Mango,EC
69561,101,Mango,EC
69563,101,Mango,EC
69564,101,Mango,EC
69567,101,Mango,EC
69568,101,Mango,EC
69569,101,Mango,EC
69571,101,Mango,EC
69572,101,Mango,EC
69577,101,Mango,EC
69581,101,Mango,EC
69583,101,Mango,EC
69585,101,Mango,EC
69590,101,Mango,EC
69591,101,Mango,EC
69593,101,Mango,EC
69595,101,Mango,EC
69596,101,Mango,EC
69597,101,Mango,EC
69600,101,Mango,EC
69605,101,Mango,EC
69609,101,Mango,EC
69610,101,Mango,EC
69614,101,Mango,EC
69618,101,Mango,EC
69621,101,Mango,EC
69625,101,Mango,EC
69626,101,Mango,EC
69627,101,Mango,EC
69630,101,Mango,EC
69631,101,Mango,EC
69633,101,Mango,EC
69635,101,Mango,EC
69638,101,Mango,EC
69639,101,Mango,EC
69640,101,Mango,EC
69653,101,Mango,EC
69654,101,Mango,EC
69655,101,Mango,EC
69664,101,Mango,EC
69666,101,Mango,EC
69667,101,Mango,EC
69673,101,Mango,EC
69677,101,Mango,EC
