image_id,coarse_label, fine_label, coarse_label2
0,0,Rice,FC
1,0,Rice,FC
4,0,Rice,FC
7,0,Rice,FC
10,0,Rice,FC
13,0,Rice,FC
16,0,Rice,FC
23,0,Rice,FC
26,0,Rice,FC
36,0,Rice,FC
39,0,Rice,FC
44,0,Rice,FC
46,0,Rice,FC
49,0,Rice,FC
51,0,Rice,FC
54,0,Rice,FC
58,0,Rice,FC
61,0,Rice,FC
63,0,Rice,FC
66,0,Rice,FC
67,0,Rice,FC
70,0,Rice,FC
75,0,Rice,FC
79,0,Rice,FC
90,0,Rice,FC
97,0,Rice,FC
103,0,Rice,FC
105,0,Rice,FC
107,0,Rice,FC
108,0,Rice,FC
111,0,Rice,FC
112,0,Rice,FC
114,0,Rice,FC
117,0,Rice,FC
118,0,Rice,FC
119,0,Rice,FC
120,0,Rice,FC
121,0,Rice,FC
122,0,Rice,FC
123,0,Rice,FC
125,0,Rice,FC
127,0,Rice,FC
134,0,Rice,FC
139,0,Rice,FC
140,0,Rice,FC
142,0,Rice,FC
143,0,Rice,FC
144,0,Rice,FC
150,0,Rice,FC
154,0,Rice,FC
158,0,Rice,FC
167,0,Rice,FC
170,0,Rice,FC
176,0,Rice,FC
177,0,Rice,FC
178,0,Rice,FC
181,0,Rice,FC
192,0,Rice,FC
204,0,Rice,FC
207,0,Rice,FC
211,0,Rice,FC
218,0,Rice,FC
223,0,Rice,FC
225,0,Rice,FC
232,0,Rice,FC
236,0,Rice,FC
237,0,Rice,FC
238,0,Rice,FC
247,0,Rice,FC
251,0,Rice,FC
255,0,Rice,FC
256,0,Rice,FC
259,0,Rice,FC
261,0,Rice,FC
264,0,Rice,FC
265,0,Rice,FC
266,0,Rice,FC
272,0,Rice,FC
274,0,Rice,FC
279,0,Rice,FC
282,0,Rice,FC
283,0,Rice,FC
287,0,Rice,FC
288,0,Rice,FC
300,0,Rice,FC
307,0,Rice,FC
309,0,Rice,FC
310,0,Rice,FC
311,0,Rice,FC
317,0,Rice,FC
318,0,Rice,FC
322,0,Rice,FC
323,0,Rice,FC
326,0,Rice,FC
331,0,Rice,FC
333,0,Rice,FC
336,0,Rice,FC
339,0,Rice,FC
341,0,Rice,FC
342,0,Rice,FC
343,0,Rice,FC
345,0,Rice,FC
349,0,Rice,FC
351,0,Rice,FC
352,0,Rice,FC
357,0,Rice,FC
358,0,Rice,FC
364,0,Rice,FC
369,0,Rice,FC
375,0,Rice,FC
376,0,Rice,FC
377,0,Rice,FC
383,0,Rice,FC
386,0,Rice,FC
390,0,Rice,FC
391,0,Rice,FC
394,0,Rice,FC
404,0,Rice,FC
405,0,Rice,FC
406,0,Rice,FC
407,0,Rice,FC
409,0,Rice,FC
410,0,Rice,FC
412,0,Rice,FC
413,0,Rice,FC
416,0,Rice,FC
418,0,Rice,FC
421,0,Rice,FC
422,0,Rice,FC
423,0,Rice,FC
424,0,Rice,FC
430,0,Rice,FC
431,0,Rice,FC
435,0,Rice,FC
438,0,Rice,FC
442,0,Rice,FC
443,0,Rice,FC
448,0,Rice,FC
451,0,Rice,FC
456,0,Rice,FC
458,0,Rice,FC
460,0,Rice,FC
461,0,Rice,FC
470,0,Rice,FC
474,0,Rice,FC
479,0,Rice,FC
483,0,Rice,FC
485,0,Rice,FC
486,0,Rice,FC
490,0,Rice,FC
492,0,Rice,FC
495,0,Rice,FC
500,0,Rice,FC
502,0,Rice,FC
505,0,Rice,FC
