image_id, fine_label
20056,1
20057,0
20058,3
20059,2
20060,0
20061,0
20062,1
20064,0
20066,5
20067,5
20068,3
20069,5
20070,5
20071,3
20072,4
20073,0
20074,0
20075,5
20076,4
20077,4
20078,0
20079,5
20080,5
20081,4
20082,1
20083,0
20084,5
20085,3
20087,2
20088,5
20089,1
20090,5
20091,1
20092,2
20093,3
20094,0
20095,1
20096,0
20098,1
20099,4
20100,1
20106,4
20107,3
20108,1
20109,2
20111,2
20112,4
20113,0
20114,4
20115,4
20116,3
20117,1
20120,3
20123,3
20124,4
20126,5
20127,5
20129,3
20131,0
20133,3
20134,1
20136,1
20137,5
20138,4
20140,0
20142,2
20144,3
20147,1
20148,4
20150,1
20151,1
20152,5
20153,3
20154,3
20157,3
20158,5
20159,1
20160,3
20161,5
20162,5
20163,5
20164,2
20165,4
20166,1
20167,4
20168,4
20170,4
20171,4
20172,4
20173,1
20174,3
20175,1
20176,3
20177,0
20178,5
20179,2
20181,3
20183,5
20184,5
20185,4
20186,0
20187,2
20189,3
20190,4
20191,5
20194,5
20195,2
20198,2
20202,2
20204,2
20206,0
20207,0
20209,5
20210,2
20211,2
20212,4
20216,5
20218,0
20221,5
20222,5
20225,1
20226,3
20227,2
20228,0
20229,1
20230,2
20231,0
20232,3
20234,5
20236,4
20238,5
20240,4
20241,0
20242,1
20243,2
20245,0
20246,0
20247,4
20249,2
20250,0
20252,1
20253,2
20255,4
20256,4
20257,4
20259,5
20260,1
20261,1
20264,4
20265,4
20266,5
20267,4
20268,0
20269,4
20270,5
20271,3
20272,2
20273,4
20274,1
20275,2
20276,3
20277,3
20281,4
20282,3
20283,4
20285,4
20286,5
20287,2
20288,1
20289,4
20292,2
20293,5
20294,0
20296,5
20297,5
20299,1
20300,4
20303,2
20304,3
20305,4
20306,1
20307,2
20309,0
20310,2
20311,1
20313,4
20314,3
20315,1
20316,4
20317,2
20318,5
20319,1
20320,3
20322,1
20326,2
20327,3
20328,1
20329,2
20330,1
20331,5
20332,5
20333,4
20334,3
20335,5
20336,5
20337,5
20341,4
20342,4
20343,5
20344,0
20345,2
20346,5
20347,4
20348,5
20350,0
20352,2
20353,5
20355,2
20356,3
20357,5
20358,3
20359,5
20362,2
20363,3
20365,5
20366,0
20367,5
20370,5
20371,4
20372,2
20373,2
20374,0
20378,3
20379,3
20380,2
20382,4
20383,2
20384,1
20386,2
20387,2
20388,5
20389,4
20390,0
20392,4
20393,4
20394,0
20395,4
20397,3
20398,3
20400,1
20401,3
20402,4
20405,5
20406,2
20408,5
20409,2
20411,1
20413,2
20414,2
20416,1
20417,5
20418,2
20419,4
20421,2
20423,2
20424,0
20425,0
20427,3
20430,0
20431,0
20432,5
20433,2
20435,3
20436,0
20438,3
20439,1
20440,5
20441,0
20443,3
20444,3
20446,2
20447,1
20448,1
20449,0
20450,1
20454,5
20455,3
20457,2
20458,2
20459,5
20460,0
20461,4
20464,5
20465,0
20467,2
20472,4
20473,4
20474,5
20475,2
20476,4
20477,2
20479,3
20480,2
20482,2
20484,5
20485,1
20486,2
20487,5
20489,2
20490,2
20491,2
20493,5
20494,4
20495,2
20497,3
20498,5
20502,1
20504,0
20508,2
20510,1
20511,4
20512,3
20513,4
20515,0
20516,5
20517,2
20519,4
20520,4
20522,3
20524,0
20527,5
20528,3
20530,4
20531,4
20533,1
20534,4
20535,5
20536,0
20537,5
20539,2
20540,2
20541,2
20544,1
20545,3
20546,0
20549,0
20550,0
20553,0
20554,3
20555,0
20556,1
20558,5
20559,3
20560,2
20561,5
20563,1
20564,5
20565,3
20566,2
20567,2
20568,1
20570,2
20571,2
20572,5
20574,0
20575,3
20576,2
20577,3
20580,0
20581,0
20582,1
20584,3
20585,3
20586,5
20587,0
20589,3
20590,3
20591,5
20592,5
20595,4
20596,1
20597,0
20598,2
20599,3
20601,0
20602,5
20603,2
20605,1
20606,0
20608,3
20611,0
20612,3
20613,3
20615,5
20616,2
20617,3
20619,1
20620,1
20621,5
20622,4
20624,2
20626,3
20627,3
20628,0
20629,0
20630,0
20631,2
20633,4
20634,4
20635,0
20637,0
20638,1
20639,4
20640,4
20642,5
20643,3
20644,4
20646,0
20647,4
20648,0
20649,4
20650,1
20651,3
20652,5
20653,5
20655,3
20657,3
20658,2
20660,1
20662,3
20663,0
20664,4
20665,5
20666,0
20668,2
20670,5
20671,3
20672,4
20674,1
20676,3
20677,5
20678,4
20679,4
20680,2
20683,5
20684,3
20685,1
20686,1
20687,4
20688,0
20690,3
20691,3
20692,4
20694,4
20695,4
20696,4
20702,3
20703,3
20704,4
20705,5
20706,2
20709,0
20710,0
20712,2
20713,2
20714,1
20717,1
20718,1
20719,5
20720,2
20722,4
20723,0
20725,0
20726,2
20728,1
20730,0
20731,1
20732,3
20733,0
20734,5
20735,4
20737,5
20738,3
20739,2
20740,1
20741,3
20742,2
20745,2
20746,2
20748,0
20750,5
20751,2
20752,0
20753,4
20754,1
20756,1
20757,2
20759,4
20761,1
20762,3
20763,2
20764,0
20765,5
20766,0
20767,3
20769,4
20770,2
20771,0
20774,1
20776,0
20777,0
20779,1
20781,3
20782,1
20783,3
20785,1
20788,0
20794,1
20796,3
20798,5
